,id,station,date,prcp,tobs
518,5266,USC00513117,2017-02-14,0.0,72.0
519,5267,USC00513117,2017-02-15,0.0,76.0
520,5268,USC00513117,2017-02-16,0.0,74.0
521,5269,USC00513117,2017-02-17,0.8,67.0
522,5270,USC00513117,2017-02-18,0.0,71.0
523,5271,USC00513117,2017-02-19,0.0,70.0
524,5272,USC00513117,2017-02-20,0.0,71.0
525,5273,USC00513117,2017-02-21,0.0,70.0
526,5274,USC00513117,2017-02-22,0.06,70.0
527,5275,USC00513117,2017-02-23,0.0,70.0
528,5276,USC00513117,2017-02-24,0.0,70.0
529,5277,USC00513117,2017-02-25,0.0,63.0
530,5278,USC00513117,2017-02-26,0.0,63.0
531,5279,USC00513117,2017-02-27,0.0,66.0
532,5280,USC00513117,2017-02-28,0.16,73.0
533,5281,USC00513117,2017-03-01,2.2,72.0
534,5282,USC00513117,2017-03-02,1.45,73.0
